run,step,total,t,loss_gen,loss_critic,grad_norm,normalizer,gn_gen,depth,instantaneous_s_per_it
b64_resume,1820,3000,155853,0.3001,0.1419,763.9,0.185,0.04,6,66.3
b64_resume,1830,3000,156516,0.2994,0.1395,847.4,0.228,0.04,5,66.3
b64_resume,1840,3000,157182,0.3117,0.1235,842.2,0.239,0.04,4,66.6
b64_resume,1850,3000,157845,0.3228,0.1234,893.4,0.243,0.04,4,66.3
b64_resume,1860,3000,158509,0.3106,0.1283,833.4,0.232,0.04,6,66.4
b64_resume,1870,3000,159174,0.2854,0.1241,762.0,0.203,0.04,5,66.5
b64_resume,1880,3000,159840,0.2846,0.1204,823.9,0.238,0.04,5,66.6
b64_resume,1890,3000,160537,0.2831,0.1248,803.4,0.215,0.04,4,69.7
b64_resume,1900,3000,161201,0.3384,0.1310,853.9,0.240,0.04,4,66.4
b64_resume,1910,3000,161865,0.3060,0.1246,788.7,0.238,0.04,4,66.4
b64_resume,1920,3000,162528,0.2877,0.1301,842.9,0.229,0.04,6,66.3
b64_resume,1930,3000,163192,0.2930,0.1343,803.1,0.250,0.04,6,66.4
b64_resume,1940,3000,163858,0.3140,0.1180,785.8,0.238,0.04,6,66.6
b64_resume,1950,3000,164524,0.2774,0.1274,813.4,0.234,0.04,4,66.6
b64_resume,1960,3000,165186,0.2763,0.1287,781.8,0.188,0.04,5,66.2
b64_resume,1970,3000,165850,0.3013,0.1297,930.1,0.276,0.04,6,66.4
b64_resume,1980,3000,166515,0.3069,0.1203,876.3,0.267,0.04,5,66.5
b64_resume,1990,3000,167179,0.3312,0.1337,885.4,0.282,0.04,5,66.4
b64_resume,2000,3000,167842,0.3098,0.1319,856.4,0.208,0.04,4,66.3
b64_resume,2010,3000,168560,0.3188,0.1211,963.9,0.261,0.04,4,71.8
b64_resume,2020,3000,169223,0.3185,0.1278,895.9,0.226,0.03,6,66.3
b64_resume,2030,3000,169886,0.3122,0.1242,905.5,0.254,0.04,5,66.3
b64_resume,2040,3000,170548,0.3003,0.1267,842.6,0.254,0.04,6,66.2
b64_resume,2050,3000,171212,0.3006,0.1336,815.8,0.189,0.04,5,66.4
b64_resume,2060,3000,171877,0.2952,0.1358,820.1,0.188,0.04,5,66.5
b64_resume,2070,3000,172542,0.2955,0.1204,822.0,0.207,0.04,4,66.5
b64_resume,2080,3000,173205,0.2844,0.1281,746.4,0.194,0.04,5,66.3
b64_resume,2090,3000,173870,0.2934,0.1348,859.9,0.270,0.04,4,66.5
b64_resume,2100,3000,174534,0.3021,0.1288,855.4,0.236,0.04,5,66.4
b64_resume,2110,3000,175197,0.2976,0.1211,843.7,0.223,0.04,5,66.3
b64_resume,2120,3000,175861,0.2931,0.1331,809.1,0.194,0.04,4,66.4
b64_resume,2130,3000,176522,0.2918,0.1180,775.2,0.169,0.05,5,66.1
b64_resume,2140,3000,177184,0.2993,0.1182,946.0,0.253,0.04,5,66.2
b64_resume,2150,3000,177845,0.2935,0.1233,896.8,0.237,0.04,5,66.1
b64_resume,2160,3000,178508,0.3092,0.1368,929.2,0.222,0.04,5,66.3
b64_resume,2170,3000,179172,0.3088,0.1251,861.0,0.242,0.04,6,66.4
b64_resume,2180,3000,179835,0.2975,0.1373,800.6,0.205,0.04,6,66.3
b64_resume,2190,3000,180501,0.2831,0.1285,854.5,0.223,0.04,6,66.6
b64_resume,2200,3000,181166,0.3126,0.1170,927.2,0.228,0.04,4,66.5
b64_resume,2210,3000,181829,0.3221,0.1156,921.8,0.230,0.04,4,66.3
b64_resume,2220,3000,182490,0.3248,0.1168,879.3,0.215,0.04,4,66.1
b64_resume,2230,3000,183155,0.3328,0.1207,869.6,0.234,0.04,5,66.5
b64_resume,2240,3000,183819,0.3051,0.1220,905.1,0.266,0.04,5,66.4
b64_resume,2250,3000,184484,0.3129,0.1326,876.9,0.218,0.04,5,66.5
b64_resume,2260,3000,185227,0.3427,0.1368,936.9,0.257,0.04,4,74.3
b64_resume,2270,3000,185892,0.3169,0.1368,828.7,0.243,0.04,5,66.5
b64_resume,2280,3000,186554,0.3257,0.1336,831.4,0.263,0.05,6,66.2
b64_resume,2290,3000,187218,0.2941,0.1442,833.8,0.252,0.04,5,66.4
b64_resume,2300,3000,187882,0.2976,0.1276,872.4,0.256,0.04,6,66.4
b64_resume,2310,3000,188548,0.2995,0.1204,902.5,0.264,0.05,5,66.6
b64_resume,2320,3000,189213,0.3136,0.1315,906.1,0.238,0.04,5,66.5
b64_resume,2330,3000,189878,0.3135,0.1332,809.8,0.207,0.04,5,66.5
b64_resume,2340,3000,190541,0.3199,0.1307,826.5,0.248,0.05,5,66.3
b64_resume,2350,3000,191206,0.3271,0.1165,813.1,0.198,0.04,4,66.5
b64_resume,2360,3000,191868,0.3339,0.1315,837.7,0.207,0.05,5,66.2
b64_resume,2370,3000,192532,0.3197,0.1347,787.4,0.167,0.04,4,66.4
b64_resume,2380,3000,193197,0.3084,0.1280,847.9,0.213,0.04,4,66.5
b64_resume,2390,3000,193861,0.3110,0.1156,812.1,0.215,0.04,4,66.4
b64_resume,2400,3000,194527,0.3396,0.1255,865.5,0.238,0.05,4,66.6
b64_resume,2410,3000,195191,0.3283,0.1358,805.1,0.214,0.05,6,66.4
b64_resume,2420,3000,195856,0.3264,0.1216,914.0,0.271,0.05,5,66.5
b64_resume,2430,3000,196521,0.3060,0.1228,833.8,0.194,0.05,4,66.5
b64_resume,2440,3000,197186,0.3250,0.1259,850.4,0.193,0.05,5,66.5
b64_resume,2450,3000,197849,0.3193,0.1249,900.7,0.246,0.05,5,66.3
b64_resume,2460,3000,198513,0.3303,0.1225,886.1,0.245,0.05,5,66.4
b64_resume,2470,3000,199176,0.3142,0.1195,789.7,0.188,0.05,5,66.3
b64_resume,2480,3000,199841,0.3298,0.1244,805.7,0.228,0.05,6,66.5
b64_resume,2490,3000,200505,0.3227,0.1278,826.9,0.227,0.04,5,66.4
b64_resume,2500,3000,201170,0.3071,0.1273,825.8,0.234,0.04,6,66.5
b64_resume,2510,3000,201849,0.3126,0.1189,762.4,0.194,0.04,6,67.9
b64_resume,2520,3000,202515,0.3022,0.1222,791.2,0.190,0.04,5,66.6
b64_resume,2530,3000,203177,0.3130,0.1215,829.8,0.176,0.04,5,66.2
b64_resume,2540,3000,203840,0.3368,0.1209,920.6,0.197,0.04,4,66.3
b64_resume,2550,3000,204505,0.3082,0.1225,872.6,0.199,0.04,6,66.5
b64_resume,2560,3000,205169,0.2945,0.1266,790.7,0.173,0.04,6,66.4
b64_resume,2570,3000,205831,0.3245,0.1285,798.1,0.192,0.04,6,66.2
b64_resume,2580,3000,206494,0.2945,0.1269,798.0,0.182,0.04,5,66.3
b64_resume,2590,3000,207158,0.3202,0.1291,826.8,0.205,0.05,4,66.4
